AgtId,Agt,PP,PPName,PAX_Hyperlink,PDF_Hyperlink,PAX_Local_Hyperlink,local_search
2242,Taliban MoU with department of Helmand on education,168,Afghanistan Islamic-Emirates-intra-Afghan ,https://www.peaceagreements.org/view/2242,https://www.peaceagreements.org/viewmasterdocument/2242,https://www.peaceagreements.org/lview/2242,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=168&LocalSearchForm%5Bversion%5D=&s=Search+Database
1210,Decisions on Mostar of 12 February 1997,125,Bosnia peace process,https://www.peaceagreements.org/view/1210,https://www.peaceagreements.org/viewmasterdocument/1210,https://www.peaceagreements.org/lview/1210,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=125&LocalSearchForm%5Bversion%5D=&s=Search+Database
1644,Agreement on the disarmament of the able-bodied population in the Zepa enclave,128,Bosnia Local peace processes,https://www.peaceagreements.org/view/1644,https://www.peaceagreements.org/viewmasterdocument/1644,https://www.peaceagreements.org/lview/1644,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=128&LocalSearchForm%5Bversion%5D=&s=Search+Database
1850,Agreement ,125,Bosnia peace process,https://www.peaceagreements.org/view/1850,https://www.peaceagreements.org/viewmasterdocument/1850,https://www.peaceagreements.org/lview/1850,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=125&LocalSearchForm%5Bversion%5D=&s=Search+Database
1297,Declaration,128,Bosnia Local peace processes,https://www.peaceagreements.org/view/1297,https://www.peaceagreements.org/viewmasterdocument/1297,https://www.peaceagreements.org/lview/1297,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=128&LocalSearchForm%5Bversion%5D=&s=Search+Database
1569,Joint Statement,128,Bosnia Local peace processes,https://www.peaceagreements.org/view/1569,https://www.peaceagreements.org/viewmasterdocument/1569,https://www.peaceagreements.org/lview/1569,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=128&LocalSearchForm%5Bversion%5D=&s=Search+Database
1612,"Agreement between the HVO Santici and representatives of the Muslim people of Ahmici, concluded at the home of Nenad Santic on 22 October 1992",128,Bosnia Local peace processes,https://www.peaceagreements.org/view/1612,https://www.peaceagreements.org/viewmasterdocument/1612,https://www.peaceagreements.org/lview/1612,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=128&LocalSearchForm%5Bversion%5D=&s=Search+Database
1611,Announcement (Ceasefire for Vitez municipality),125,Bosnia peace process,https://www.peaceagreements.org/view/1611,https://www.peaceagreements.org/viewmasterdocument/1611,https://www.peaceagreements.org/lview/1611,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=125&LocalSearchForm%5Bversion%5D=&s=Search+Database
1608,Protocol,128,Bosnia Local peace processes,https://www.peaceagreements.org/view/1608,https://www.peaceagreements.org/viewmasterdocument/1608,https://www.peaceagreements.org/lview/1608,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=128&LocalSearchForm%5Bversion%5D=&s=Search+Database
1587,Protocol (Ilidza Ceasefire),125,Bosnia peace process,https://www.peaceagreements.org/view/1587,https://www.peaceagreements.org/viewmasterdocument/1587,https://www.peaceagreements.org/lview/1587,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=125&LocalSearchForm%5Bversion%5D=&s=Search+Database
