Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,PT_FSP,PT_ISP,PT_IPP,PT_UTE,LinkNatProcess,LocaleName,LocaleNat,LatDec,LongDec,Mediator,MedCentState,MedRegState,MedLocState,MedLocArmed,MedReDomEld,MedLocCivSoc,MedIntActor,MedOtherUnclear,CentState,RegState,LocState,LocArmedGr,ReDomEld,LocComSoc,IntActor,OthActor,RitPray,Grieve,Cattle,Cover
Afghanistan,Other,168,Afghanistan Islamic-Emirates-intra-Afghan ,Europe and Eurasia,2242,6,Taliban MoU with department of Helmand on education,14/02/2018,Multiparty signed/agreed,1,3005,Oth,,"- Taliban Representative of Education Commission of the Islamic Emirate of Afghanistan 

- Education Representative of Helmand Province 

(see original language document for signatories) ",,,AFG,,700,,333,NA,NA,481,No,0,0,1,0,0,Helmand,Region,31.3636474,63.9586111,,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1210,1,Decisions on Mostar of 12 February 1997,12/02/1997,Multiparty signed/agreed,3,7696,Imp,ExtSub,"President Izetbegovic, President Zubak, Co-Chairman Silajdzic, Vice-Chairman Tomic, Foreign Minister Prlic, Croatian Democratic Union of Bosnia and Herzegovina (HDZ) President Rajic, Democratic Action Party (SDA) Vice-President and Prime Minister Bicakcic, Mostar Mayor Prskalo and Deputy Mayor Orucevic","The meeting was chaired by the Principal Deputy High Representative, Mr. Michael Steiner. Also present were the Commander of the Stabilization Force (SFOR), General Crouch, Acting Police Commissioner Wasserman and Head of the Office of the High Representative South, Sir Martin Garrod.","Page 1, Untitled preamble
The participants committed themselves to undertake all efforts to calm down tensions, to overcome the present crisis and to implement fully existing Federation agreements, including the Mostar provisions of the Agreed Measures of the Federation Forum of 3 February.",BIH,,346,,398,,,215,No,1,0,0,0,1,Mostar,City,43.344127,17.810621,"The meeting was chaired by the Principal Deputy High Representative, Mr. Michael Steiner.",0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1644,1,Agreement on the disarmament of the able-bodied population in the Zepa enclave,24/07/1995,Multiparty signed/agreed,1,2955,Cea,Rel,"Rajko KUSIC; Hamdija TORLAK
","UNPROFOR representative Semjon DUDNJIK 
Certified by Colonel General Ratko MLADIC",,BIH,,346,,389,,,215,No,0,1,0,0,1,Zepa,Smaller,43.953946,19.132594,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1850,1,Agreement ,04/03/1994,Multiparty signed/agreed,1,366,Pre,PreOth,"On behalf of BiH [see PDF for signature]
On behalf of HR HB [see PDF for signature]","Witness, UNPROFOR [unsigned]
",,BIH,,346,,398,,,215,No,0,0,0,1,0,Left bank of Mostar,Smaller,43.340005,17.814459,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1297,1,Declaration,22/10/1993,Multiparty signed/agreed,3,4905,Imp,ImpMod,"PRESIDENT OF THE REPUBLIC OF SRPSKA Dr Radovan Karadzic; PRESIDENT OF THE AUTONOMOUS PROVINCE OF WESTERN BOSNIA OF THE REPUBLIC OF BOSNIA Fikret Abdic
","Witness to the agreement achieved, and assuming the obligation to mediate in the case of difficulties arising in its implementation: PRESIDENT OF THE REPUBLIC OF SERBIA Slobodan Milosevic
","Page 1, 1. 
The Republic of Srpska recognizes the existence, the will of the people, and the legal authority of the Autonomous Province of Western Bosnia of the Republic of Bosnia, one of the three constituent Republics of the Union of Bosnia and Herzegovina, as defined by the Owen and Stoltenberg Peace Plan.

Page 1, 2. 
The Autonomous Province of Western Bosnia of the Republic of Bosnia recognizes the existence, the will of the people, and the legal authority of the Republic of Srpska, one of the three constituent Republics of the Union of Bosnia and Herzegovina, as defined by the Owen and Stoltenberg Peace Plan.

Page 2, 6. 
All fundamental freedoms and human rights, as provided for by the relevant international legal instruments shall be mutually guaranteed, in accordance with the Owen and Stoltenberg Peace Plan.

",BIH,,346,,397,,,215,No,0,0,1,0,0,Western Bosnia,Region,44.812905,15.870652,"Listed in the agreement as 'Witness to the agreement achieved and assuming the obligation to mediate in the case of difficulties arising in its implementation: President of the Republic of Serbia, Slobodan Milosevic'",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1569,1,Joint Statement,21/10/1993,Multiparty signed/agreed,2,2542,Cea,Ceas,President of the Croatian Republic of Herceg Bosnia Mate Boban; President of the AP Western Bosnia Fikret Abdic,,"Page 1, Untitled Preamble
Accepting the principles of the London conference and taking into consideration provisions for the constitution of the future Union of Bosnia and Herzegovina, put forward by,the Geneva Peace Conference;

Page 1, 2. 
Changes in the B&H Presidency by a faction of the Presidency led by Alija Izetbegovic we consider un-constitutional and illegal because a member can be dismissed from the Presidency only if he hands in his resignation or if he has been revoked by his constituency. That act, which runs contrary to the Geneva agreement and the arrangements for the establishment of friendship and cooperation between the Croats and the Muslims in Bosnia and Herzegovina, brought an end to the last remaining democratically elected institution in B&H.",BIH,,346,,397,,,215,No,0,0,1,0,0,Western Bosnia,Region,44.812905,15.870652,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1612,1,"Agreement between the HVO Santici and representatives of the Muslim people of Ahmici, concluded at the home of Nenad Santic on 22 October 1992",22/10/1992,Multiparty signed/agreed,1,1030,Pre,Conf,For the HVO [signatures illegible]; For the Muslim People [signatures illegible],,,BIH,,346,,398,,,215,No,0,1,0,0,0,Ahmici,Smaller,44.145364,17.841235,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1611,1,Announcement (Ceasefire for Vitez municipality),22/10/1992,Multiparty signed/agreed,2,1915,Cea,Ceas,"Mr. Anders Levinsen, UNHCR; Captain Saimon Elis, UNPROFOR - U.K.; Friar Ante Tomas; Mr. Omer efendija Mestrovac; Mr. Sefkija Djidic, Armed Forces of Vitez; Mr. Sulejman Kalco, Armed Forces of Vitez; Mr. Pero Skopljak, HVO; Mr. Ivan Santic, HVO; Mr. Mario Cerkez, the HVO Headquarters",,,BIH,,346,,398,,,215,No,0,1,0,0,0,Vitez,Region,44.150272,17.790591,"Captain Simon Ellis, UNPROFOR - U.K 
Mr. Anders Levinsen (UNHCR)",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1608,1,Protocol,08/08/1992,Multiparty signed/agreed,3,2522,Pre,Conf,"HVO representatives: 1. Josip BORO 2. Marko FRANKOVIC 3. Vinko ANTUNOVIC 4. Josip KRISTIC
Representatives of the Muslim people: Ejob Mujic [did not sign], Senaid DURAKOVIC
",For the BH Presidency: Franjo BORAS,"Page 1, III.
During further talks, both sides will in a civilised and peaceful manner and in the spirit of the Agreement on Friendship and Cooperation signed by the republics of Croatia and Bosnia and Herzegovina in Zagreb on 21 July 1992...",BIH,,346,,389,,,215,No,0,1,0,0,1,Kiseljak,Region,43.94304,18.07739,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1587,1,Protocol (Ilidza Ceasefire),23/04/1992,Multiparty signed/agreed,1,572,Cea,Ceas,"SDS Representative, Nedjeljko PRSTOJEVIC; SDA Representative, [Sefer] HALILOVIC","European Community representative, T.W. MICHELS",,BIH,,346,,389,,,215,No,0,1,0,0,1,Ilidza,Smaller,43.827023,18.304901,"Agreement signed by T.W. Michels on behalf of the European Community, who is believed to be an ECMM monitor according to secondary sources. Secondary reports describe the ECMM as the organisation who arranged the meeting. ",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Burundi,Inter-group,148,Burundi: Local Process,Africa (excl MENA),2033,2,"Social contract between farmers and pastoralists in the commune Rugombo, Cibitoke province, Burundi",23/03/2006,Multiparty signed/agreed,5,7999,SubPar,MultIss,"This contract, although signed by the members of monitoring committee, was adopted by sixty thirteen men and women representing farmers and ranchers. They came from all the hills of the Commune RUGOMBO. ","These meetings have been supported by the presence of representatives of the Administration, Justice and the D. P. A. E. and were held in CIBITOKE of 22 to 23 March 2006 ",,BDI,,516,,NA,NA,NA,NA,No,1,0,0,0,0,"Rugombo commune, Cibitoke province",Region,-2.816393,29.079704,"Facilitator: Agency for Co-operation and Research in Development (ACORD)

Supporter: Representatives of the Administration, Justice and the Direction provinciale de l'Agriculture et de l'Elevage [Provincial Directorate of Agriculture and Livestock] (D. P. A. E.)",0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0
Burundi,Inter-group,148,Burundi: Local Process,Africa (excl MENA),2034,2,"Contract of peaceful cohabitation (neighbourhood Teza ii of Kamenge), Burundi ",30/06/2004,Multiparty signed/agreed,3,5210,Imp,ExtSub,"Approved by 150 people living in the neighbourhood of Teza II, representing all segments of the population. 

On behalf of the inhabitants of Teza II, the Committee elected: [Name & Signature]

    The representative of young people living in Kamenge : [Name & Signature]
     The representative of young people displaced:  [Name & Signature]
    The representative men living in Kamenge:  [Name & Signature]
    The representative of internally displaced men:  [Name & Signature]
    The representative of women living in Kamenge: [Name & Signature]
     The representative of displaced women:  [Name & Signature]","Bishop Dacillia Joseph, alias Buyengero",,BDI,,516,,287,NA,NA,918,No,1,0,0,0,0,"Kamenge, neighbourhood Teza II",Smaller,-3.344477,29.390128,"Facilitators: Agency for Co-operation and Research in Development (ACORD); Collectif des Associations de Kamenge (CADEKA)

Convenor: Bishop Dacillia Joseph, alias Buyengero",0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2371,5,"Reconciliation pact between the North-Eastern communities (Vakaga, Bamingui-Bangoran, Haute-Kotto)",10/11/2020,Multiparty signed/agreed,3,7517,SubComp,FrAg,"Representatives of Vakaga
Amgabo Moustapha (Sultan mayor)
Adramane Ramadane (Kara)
Ibrahim Abdoulaye (Goula) 
Oumar Garba (Haoussa) 
Abakar Yaya (Rounga) 
Adam Idriss (Youlou) 
Assane Amadou (Foulata)
Abdoulaye Tidjiane (Bornou) 


Representatives of Haute-Kotto
Samba Rene Valentin (Banda)
Atahir Ali (Arabe) 
Yaya Idriss Doungouss (Rounga)
Djouma Felix (Sara) 
Assane Zakaria (Kara) 
Ibrahim Ahamat (Goula) 
Ahamat Aliou (Peul)
Dalkia Gilbert (Ndoka) 
Blitchi Rosalie (women)
Balekouzou Maurice (mayor) 
Aboubakar Siddick Ali (Bornou) 

Representatives of Bamingui-Bangoran
Senoussi Ibrahim (Sultan mayor) 
Yacoub Ibrahim (Rounga) 
Mahamat Kamiss (Ndoka) 
Makossa Bangui Pierre (Banda) 
Hamat Driwich 
Moussa Ngade Daniel (Sara) 
Atahir Hamdan (Arab) 
Outmane Amine (Djeme) 
Senoussi Fatime (women)
Ahmat Moussa (youth) 
",,"Page 1:
PREAMBLE
...
•    Considering the peace and reconciliation initiatives implemented by the Government, with the support of partners;
Reaffirming the adherence of all communities to the Political Agreement for Peace and Reconciliation in the Central African Republic (APPR - RCA)
•    Considering the will of the different communities to move towards peace and reconciliation, shown through various pacts and documents signed between said communities,",CAF,,482,,NA ,NA,NA,NA,No,1,0,0,0,1,North-Eastern CAR ,Region,8.579294409,8.579294409,"The agreement does not reference the mediators, but the meeting was recorded as being facilitated by MINUSCA and publicised on MINUSCA Facebook page (link below), with participation of the UNSG representative. The agreement does note that the Bangui Meeting, at which the agreement was reached, was organised under the patronage of the CAR President, Faustin Archange Touadera.  ",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
