Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,description,stage_label,agt_type,agt_dat,PAX_Hyperlink,PDF_Hyperlink,PAX_Generate_PDF,year,stage_scale
Afghanistan,Government/territory,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,2232,3,"Resolution of Intra Afghan Peace Conference in Doha, Qatar (Doha Roadmap for Peace)",2019-07-08,Multiparty signed/agreed,2,5235,Intra,Pre,PreMix,"Stated to be Participants to the Afghan Peace Conference.
(secondary sources suggest that 62 participants were present, 17 of whom were members of the Taliban. On the Afghan-Kabul side, some participants were women). Same source suggests that the resolution was drafted by 6 Kabul representatives and 3 of the Taliban. ","Qatar
German Government 
United Nations
USA
Countries in the region ","Page 2, 8:
8. We acknowledge and approve the recent resolution of intra afghan conference held on 6 Feb 2019 in Moscow and urge the Islamic Conference. UN, Security Council, neighboring countries to support the peace conferences held in Moscow and Doha",AFG,,700.0,,333,,,225,No,"The meeting in Doha brought together representatives from Kabul and  representatives of the Taliban, with support from Qatar and the German Government. The participants produced a resolution that sets out principles for future talks, provides a starting definition of the Afghan state, sets key human rights principles, provides for release of some vulnerable groups of prisoners. It also sets conditions for the roadmap to peace, listing them as an agenda for the future rather than agreed items.",Pre-negotiation,Intrastate,"Resolution of Intra Afghan Peace Conference in Doha, Qatar (Doha Roadmap for Peace) (2019-07-08)",https://www.peaceagreements.org/view/2232,https://www.peaceagreements.org/viewmasterdocument/2232,https://www.peaceagreements.org/generateAgreementPDF/2232,2019,1
Afghanistan,Other,168,Afghanistan Islamic-Emirates-intra-Afghan ,Europe and Eurasia,2242,6,Taliban MoU with department of Helmand on education,2018-02-14,Multiparty signed/agreed,1,3005,IntraLocal,Oth,,"- Taliban Representative of Education Commission of the Islamic Emirate of Afghanistan 

- Education Representative of Helmand Province 

(see original language document for signatories) ",,,AFG,,700.0,,333,,,481,No,"A ten point agreement advocating for the importance of education, schools and religious centres as national assets. The agreement provides for further development and reconstruction of schools and religious centres and sets out district level monitoring mechanisms to ensure schools reopen and are protected. The agreement also provides for delivery of educational materials and establishes punitive measures for civilian or military officials who obstruct the programme, as well as measures to freeze salaries of teachers or headteachers who do not carry out their duties. ",Other,Local,Taliban MoU with department of Helmand on education (2018-02-14),https://www.peaceagreements.org/view/2242,https://www.peaceagreements.org/viewmasterdocument/2242,https://www.peaceagreements.org/generateAgreementPDF/2242,2018,7
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1739,2,Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami ,2016-09-22,Multiparty signed/agreed,4,10203,Intra,SubPar,MultIss,"President of the IRA Mohammad Ashraf Ghani, chairman of HIA delegation Gulbuddin Hekmatyar, chairman of HPC Peer Sayed Ahmad Gailani and HIA head of peace delegation, Mohammad Ameen Karim.",,,AFG,,700.0,,333,1488,,851,No,"This agreement contains mutual commitments of the Afghanistan government and the Hizb-e-Islami group. The government agrees to work towards lifting international restrictions against Hizb-e-Islami members, prisoner release, rights to political activities and participation, and facilitation of inclusion in government institutions. Hizb-e-Islami commits to a ceasefire, cutting ties with terrorist groups, and to support the work of the High Peace Council. ","Framework-substantive, partial",Intrastate,Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami  (2016-09-22),https://www.peaceagreements.org/view/1739,https://www.peaceagreements.org/viewmasterdocument/1739,https://www.peaceagreements.org/generateAgreementPDF/1739,2016,3
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1923,2,Agreement between the two campaign teams regarding the structure of the national unity government,2014-09-21,Multiparty signed/agreed,4,11110,Intra,Imp,ExtSub,"Dr. Mohammad Ashraf Ghani Ahmadzai 
Dr. Abdullah Abdullah","The foregoing signatures were witnessed by:
H.E. Jan Kubis, Special Representative of the Secretary General of the United Nations
H.E. James B. Cunningham, Ambassador of the United States of America","Page 3, D. Creation of the position of leader of the runner-up team
In line with the Joint Declaration of 17 Asad 1393 (August 8, 2014) and its annex, and with the goal of strengthening and expanding democracy, the position of the leader of the runner-up team, referred to in the mentioned document as the opposition leader, will be created and officially recognized within the framework of the government of the Islamic Republic of Afghanistan on the basis of a presidential decree.

Page 4, G. Entry-into-force
Honoring their commitments to the Technical and Political Frameworks of July 12, 2014, and the Joint Declaration of August 8, 2014, as reflected throughout this agreement, the parties reaffirm their commitment regarding the outcome of the election and implementation of this agreement to establish the national unity government, which will enter into force upon signing by the two candidates in the presence of Afghan and international witnesses.",AFG,,700.0,,333,,,225,No,,Implementation,Intrastate,Agreement between the two campaign teams regarding the structure of the national unity government (2014-09-21),https://www.peaceagreements.org/view/1923,https://www.peaceagreements.org/viewmasterdocument/1923,https://www.peaceagreements.org/generateAgreementPDF/1923,2014,5
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,864,1,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),2012-07-08,Multiparty signed/agreed,14,39746,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Afghan Government and the International Community (representatives from 55 countries and 25 international and other organizations from around the world) ","Ambassador Kazuo Kodama, Chargé d’affaires ad interim Permanent Mission of Japan to the United Nations
","Page 2, Preamble, 1
...
These undertakings are built on the  outcome of the  Bonn Conference in December 2011, where the Afghan Government and the International Community mutually renewed their long-term commitments in the areas of governance, security, peace process, economic and social development, and regional cooperation, as well as on the outcomes of the previous international conferences such as the London Conference in January 2010 and the Kabul Conference in July 2010. 

Page 3, Preamble, 4
...
Today in Tokyo, the Afghan Government and the International Community succeeded in transforming their mutual commitments made in Bonn to cooperate throughout the Transformation Decade into a solid and credible framework focused on the priorities of the Afghan Government as contained in its strategy paper Towards Self-Reliance. 

Page 4, Security and Peace Process, 9
...
The Participants reaffirmed the importance of the peace and reconciliation process with a view to ending the ongoing violence in the country and restoring lasting peace and security as per the UN Security Council Resolutions and as stated in the London and Kabul Communiqués, and reconfirmed in the Bonn Conclusions. 

Page 5, Governance and Strategy for Economic Self-Reliance, 14
...
The International Community welcomed the Afghan strategy, and reaffirmed its commitment of aligning 80 percent of aid with the NPPs and channeling at least 50 percent of its development assistance through the national budget of the Afghan Government in accordance with the London and Kabul Communiqués. 

Page 7, Regional Cooperation, 19
...
The Participants welcomed the conclusion of the Afghanistan-Pakistan Transit Trade Agreement (APTTA), the transit agreement between Afghanistan and Tajikistan, and the Agreement on Cross-Border Transport of Persons, Vehicles, and Goods (CBTA) among Afghanistan, the Kyrgyz Republic and Tajikistan within the framework of CAREC.

Page 9, Tokyo Mutual Accountability Framework, 2
...
this accountability framework concretizes the mutual commitments decided in the Kabul Process and reaffirmed at the Bonn Conference by stipulating shared development and governance goals and a mechanism as described in this document to hold parties accountable for achieving them. ",AFG,,700.0,,333,,,225,No,"This agreement extends and updates previous commitments made by the Government of Afghanistan and international donors. The areas of focus are: Security and Peace Process; Governance and Strategy for Economic Self-Reliance; Regional Cooperation; Private Sector and Civil Society; and contains an Annex titled 'Tokyo Mutual Accountability Framework'.  
",Implementation,Interstate/mixed,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference) (2012-07-08),https://www.peaceagreements.org/view/864,https://www.peaceagreements.org/viewmasterdocument/864,https://www.peaceagreements.org/generateAgreementPDF/864,2012,5
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,848,1,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),2011-12-05,Multiparty signed/agreed,7,24106,InterIntra,Pre,Prin,"Not signed, agreement mentions the following parties as having produced it: Islamic Republic of Afghanistan, the Republic of Albania, the People’s Democratic Republic of Algeria, the Argentine Republic, the Republic of Armenia, Australia, the Republic of Austria, the Republic of Azerbaijan, the Kingdom of Bahrain, the People’s Republic of Bangladesh, the Kingdom of Belgium, Bosnia and Herzegovina, Federative Republic of Brazil, Brunei Darussalam, the Republic of Bulgaria, Canada, the People’s Republic of China, the Republic of Colombia,  the  Republic  of  Croatia,  the  Republic of  Cyprus, the  Czech Republic, the Kingdom of Denmark, the Arab Republic of Egypt, the Republic of El Salvador, the Republic of Estonia, the Republic of Finland, the French Republic, Georgia, the Federal Republic of Germany, the Hellenic Republic, the Republic of Hungary, the Republic of Iceland, the Republic of India, the Republic of Indonesia, the Islamic Republic of Iran, the Republic of Iraq, Ireland, the Republic of Italy, Japan, the Hashemite Kingdom of Jordan, the Republic of Kazakhstan, the Republic of Korea, the State of Kuwait, the Kyrgyz Republic, the Republic of Latvia, the Lebanese Republic, the Principality of Liechtenstein, the Republic of Lithuania, the Grand Duchy of Luxembourg, the former Yugoslav Republic of Macedonia, Malaysia, the Republic of Malta, the United Mexican States, Mongolia, Montenegro, the Kingdom of Morocco, the Kingdom of the Netherlands, New Zealand, the Kingdom of Norway, the Sultanate of Oman, the Republic of the Philippines, the Republic of Poland, the Portuguese Republic, the State of Qatar, Romania, the Russian Federation, the Kingdom of Saudi Arabia, the Slovak Republic, the Republic of Slovenia, the Republic of South Africa, the Kingdom of Spain, the Kingdom of Sweden, the Swiss Confederation, the Republic of Tajikistan, the Kingdom of Thailand, the Republic of Tunisia, the Republic of Turkey, Turkmenistan, Ukraine, the Oriental Republic of Uruguay, the United Kingdom of Great Britain and Northern Ireland, the United Arab Emirates, the United States of America, the Republic of Uzbekistan, and the Socialist Republic of Viet Nam, as well as the Aga Khan Development Network, the Asian Development Bank, the Conference on Interaction and Confidence‐Building Measures in Asia, the Collective Security Treaty Organisation, the Economic Cooperation Organization, the European Union, the International Monetary Fund, the Islamic Development Bank, the North Atlantic Treaty Organization, the Organisation of the Islamic Cooperation, the Organization for Security and Co‐operation in Europe, the South Asian Association for Regional Cooperation, the Shanghai Cooperation Organisation, the United Nations, and the World Bank Group.",,"Page 1, 5
...
Reaffirming our commitments as set out in the 2010 London Communiqué and the Kabul Process, this  renewed partnership between Afghanistan and the International Community entails firm mutual commitments in the areas of governance, security, the peace process, economic and social development, and regional cooperation.

Page 2, Governance, 8
...
We will move this agenda forward, in accordance with our commitments under the Kabul Process in line with the principle of mutual accountability.",AFG,,700.0,,333,,,225,No,"This agreement renews the parties' commitment to the Kabul Process, and updates original commitments made at the Bonn conference in 2001. It focuses predominantly on international socio-economic assistance, reorganisation of the security forces, and the peace process. ",Pre-negotiation,Interstate/mixed,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference) (2011-12-05),https://www.peaceagreements.org/view/848,https://www.peaceagreements.org/viewmasterdocument/848,https://www.peaceagreements.org/generateAgreementPDF/848,2011,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,849,1,Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan,2011-11-02,Multiparty signed/agreed,10,21299,InterIntra,Imp,ExtSub,"Not signed, agreements mentions the following parties as having produced it: the Islamic Republic of Afghanistan, the People’s Republic of China, the Republic of India, the Islamic Republic of Iran, the Republic of Kazakhstan, the Kyrgyz Republic, the Islamic Republic of Pakistan, the Russian Federation, the Kingdom of Saudi Arabia the Republic of Tajikistan, the Republic of Turkey, Turkmenistan, and the United Arab Emirates.","Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ","Page 1, 2
We affirm the commitments enshrined in the 2002 Kabul Declaration of Good Neighbourly Relations and agree that promoting regional security and cooperation requires measures to build confidence and trust among countries",AFG,,700.0,,333,,,225,No,"This agreement expands on commitments made in the 2002 Kabul Declaration of Good Neighbourly Relations. It includes provisions for a wide range of issues, including security, counter-terrorism, corruption, socio-economic reconstruction, regional cooperation, education, culture and visa regimes. ",Implementation,Interstate/mixed,Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan (2011-11-02),https://www.peaceagreements.org/view/849,https://www.peaceagreements.org/viewmasterdocument/849,https://www.peaceagreements.org/generateAgreementPDF/849,2011,5
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,709,1,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique),2010-07-22,Multiparty signed/agreed,9,33137,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Government of the Islamic Republic of Afghanistan and the international community",,"Page 2, Principles of Effective Partnership, 8
...
In line with the London Conference Communiqué , restated their strong support for channeling at least 50% of development aid through the Afghan Government’s core budget within two years while, as committed at the London Conference, the Afghan Government achieves the necessary reforms to strengthen its public financial  management  systems, reduce corruption, improve budget execution, and increase revenue collection to finance key National Priority Programmes

Page 3, Governance, Rule of Law, and Human Rights, 9
...
Building on the London Conference commitments, the Government of Afghanistan, with the support of its international partners, pledged to...

Page 7, Regional Cooperation, 21
...
Participants re-affirmed their support for the objectives and principles laid out in the Kabul Declaration of 2002 on Good Neighborly Relations
...
Participants further recognized the need for greater regional coordination and extended their support to the inclusive vision set out in the Istanbul Statement on Friendship and Cooperation in the “Heart of Asia” of January 2010, which offers regionally-owned measures for enhanced regional cooperation

Page 7, Regional Cooperation, 23
Participants welcomed the conclusion of the Afghanistan-Pakistan Trade and Transit Agreement (APTTA), and look forward to its successful implementation 

Page 8, Regional Cooperation, 24
Participants underlined the importance of:
...
Integrated regional infrastructure projects, including transport; and encouraged both multilateral organisations and bilateral partners to promote such projects, including those presented in the Regional Cooperation Concept Paper submitted to the Kabul Conference",AFG,,700.0,,333,,,225,No,"This agreement outlines commitments by the government of Afghanistan and unspecified members of the international community, covering: international donations; governance, rule of law, and human rights; gender and children's rights; economic and social development; peace, reconciliation and reintegration; security; regional cooperation; and security. ",Implementation,Interstate/mixed,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique) (2010-07-22),https://www.peaceagreements.org/view/709,https://www.peaceagreements.org/viewmasterdocument/709,https://www.peaceagreements.org/generateAgreementPDF/709,2010,5
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,708,1,The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga,2010-06-06,Multiparty signed/agreed,4,9289,Intra,Pre,PreMix,"Not signed, agreement mentions the following parties as having produced it: The National Consultative Peace Jirga (NCPJ) participated by 1,600 delegates...including from both Houses of the Parliament, Provincial Councils, religious scholars, tribal leaders, civil society organizations, Afghan refugees residing in Iran and Pakistan  ",,,AFG,,700.0,,333,,,225,No,"This short resolution was adopted by the National Consultative Peace Jirga. The agreement contains declarations which lay out the principles and a framework for potential talks between the government of Afghanistan, international actors, and opposition groups, referred to as 'the Disaffected'. ",Pre-negotiation,Intrastate,The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga (2010-06-06),https://www.peaceagreements.org/view/708,https://www.peaceagreements.org/viewmasterdocument/708,https://www.peaceagreements.org/generateAgreementPDF/708,2010,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,707,1,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",2010-01-28,Multiparty signed/agreed,7,27083,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Government of the Islamic Republic of Afghanistan and the international community. ",,"Page 1, Afghan Leadership, Regional Cooperation, International Partnership, Article 3
The international community pledged to maintain its long-term commitment to Afghanistan, as previously set out in the 2001 Bonn Agreement, in the 2002 Tokyo Conference, the 2006 Afghanistan Compact, the 2008 Paris Declaration and the 2009 The Hague Conference Declaration. The international community re-affirmed its support for the relevant UN Security Council Resolutions upholding the security, stability and prosperity of Afghanistan and in particular the role of the UN itself in achieving this goal.

Page 5, Development and governance, 24
Conference Participants committed to helping the Government of Afghanistan’s anti-corruption efforts by providing assistance to the new institutions and committed to increase the transparency and effectiveness of its own aid in line with the June 2008 Paris Conference Declaration and the United Nations Convention Against Corruption.

Page 5, Development and governance, 27
...
Conference Participants therefore welcomed:
...
the contribution to multilateral anti-narcotics efforts by the Plan of Action of the Shanghai Cooperation Organisation Members, adopted in March 2009 by the Special Conference on Afghanistan in Moscow.

Page 6, Regional cooperation/international architecture, 28
...
This regional co-operation includes reaffirming the principles of the Good Neighbourly Relations Declaration of 2002",AFG,,700.0,,333,,,225,No,"This short agreement re-affirms the participant's commitments made in previous international conferences on Afghanistan, and contains commitments on security, development and governance, and regional cooperation.     ",Implementation,Interstate/mixed,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique) (2010-01-28)",https://www.peaceagreements.org/view/707,https://www.peaceagreements.org/viewmasterdocument/707,https://www.peaceagreements.org/generateAgreementPDF/707,2010,5
